key,entry_type,title,authors,container_title,publication_year,doi,stable_identifier,source_url,local_pdf_path,local_markdown_path,conversion_status,access_status,relevance,verification_notes,pdf_sha256,pdf_pages,markdown_pages,text_characters
brown2009titan,book,Titan from Cassini-Huygens,"Brown, Robert H and Lebreton, Jean-Pierre and Waite, John H",Springer,2009,,project-bibkey:brown2009titan,,data/papers/brown2009titan.pdf,data/papers-md/brown2009titan.md,validated,local_pdf,"Context: Titan atmosphere, circulation, clouds, or mission science.",Page count matches; 1 sparse page(s); 0 replacement character(s); OCR used on 11 page(s).; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,e1d25958f82508d746827cff27c6520a215fa2a3ca401c93f91a0e84a89b326b,529,529,2990601
lorenz2004seasonal,article,Seasonal change in Titan's haze 1992--2002 from Hubble Space Telescope observations,"Lorenz, Ralph D and Smith, Peter H and Lemmon, Mark T",Geophysical research letters,2004,10.1029/2004GL019864,doi:10.1029/2004GL019864,https://doi.org/10.1029/2004GL019864,data/papers/lorenz2004seasonal.pdf,data/papers-md/lorenz2004seasonal.md,validated,local_pdf,Direct: Titan haze asymmetry or seasonal change.,Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,6418a7734d27709035925c6cda31ff9fe546e1e029e8bf7f7235076c0cca982c,4,4,25376
lorenz2006seasonal,article,Seasonal evolution of Titan's dark polar hood: midsummer disappearance observed by the Hubble Space Telescope,"Lorenz, Ralph D and Lemmon, Mark T and Smith, Peter H",Monthly Notices of the Royal Astronomical Society,2006,10.1111/j.1365-2966.2006.10405.x,doi:10.1111/j.1365-2966.2006.10405.x,https://doi.org/10.1111/j.1365-2966.2006.10405.x,data/papers/lorenz2006seasonal.pdf,data/papers-md/lorenz2006seasonal.md,validated,local_pdf,Direct: Titan haze asymmetry or seasonal change.,Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,e9c30d71568e36bd21a057d02f16e9e18b4e8a83c094323379a881c316948920,5,5,29991
achterberg2008titan,article,Titan's middle-atmospheric temperatures and dynamics observed by the Cassini Composite Infrared Spectrometer,"Achterberg, Richard K and Conrath, Barney J and Gierasch, Peter J and Flasar, F Michael and Nixon, Conor A",Icarus,2008,10.1016/j.icarus.2007.09.029,doi:10.1016/j.icarus.2007.09.029,https://doi.org/10.1016/j.icarus.2007.09.029,data/papers/achterberg2008titan.pdf,data/papers-md/achterberg2008titan.md,validated,local_pdf,"Context: Titan atmosphere, circulation, clouds, or mission science.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,3eff4498ec14137379db62d4d769bceb57c64c9a81177fcb1982ddb0c23e46fc,15,15,96289
achterberg2008titanb,article,Observation of a tilt of Titan's middle-atmospheric superrotation,"Achterberg, Richard and Conrath, B. and Gierasch, Peter and Flasar, F. and Nixon, Conor",Icarus,2008,10.1016/j.icarus.2008.05.014,doi:10.1016/j.icarus.2008.05.014,https://doi.org/10.1016/j.icarus.2008.05.014,data/papers/achterberg2008titanb.pdf,data/papers-md/achterberg2008titanb.md,validated,local_pdf,"Context: Titan atmosphere, circulation, clouds, or mission science.",Same work and PDF as achterberg2008observation.; Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,f5b1f5894e08b2600bdba6fb4fdb33b9dca8924fb7f345bd20c90d4309dfb762,7,7,48396
smith1981encounter,article,Encounter with Saturn: Voyager 1 imaging science results,"Smith, Bradford A and Soderblom, Laurence and Beebe, Reta and Boyce, Joseph and Briggs, Geoffery and Bunker, Anne and Collins, Stewart A and Hansen, Candice J and Johnson, Torrence V and Mitchell, Jim L and others",Science,1981,,project-bibkey:smith1981encounter,,data/papers/smith1981encounter.pdf,data/papers-md/smith1981encounter.md,validated,local_pdf,Method context: limb-darkening model or fitting background.,Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 2 page(s).; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,239f310b205b60bb61b6c466701c583e0ce8b0b06462f04302ba974178f2c1ea,29,29,231919
vixie2012mapping,article,Mapping Titan's surface features within the visible spectrum via Cassini VIMS,"Vixie, Graham and Barnes, Jason W and Bow, Jacob and Le Mou{\'e}lic, St{\'e}phane and Rodriguez, S{\'e}bastien and Brown, Robert H and Cerroni, Priscilla and Tosi, Federico and Buratti, Bonnie and Sotin, Christophe and others",Planetary and Space Science,2012,10.1016/j.pss.2011.03.021,doi:10.1016/j.pss.2011.03.021,https://doi.org/10.1016/j.pss.2011.03.021,data/papers/vixie2012mapping.pdf,data/papers-md/vixie2012mapping.md,validated,local_pdf,"Direct: Cassini VIMS instrument, processing, or Titan VIMS result.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,ee780fbfbefed42624a3ef5f7aebce2daa0d77c897f4c282a706acfcadb18305,10,10,72279
barnes2021science,article,Science goals and objectives for the Dragonfly Titan rotorcraft relocatable lander,"Barnes, Jason W and Turtle, Elizabeth P and Trainer, Melissa G and Lorenz, Ralph D and MacKenzie, Shannon M and Brinckerhoff, William B and Cable, Morgan L and Ernst, Carolyn M and Freissinet, Caroline and Hand, Kevin P and others",The Planetary Science Journal,2021,10.3847/PSJ/abfdcf,doi:10.3847/PSJ/abfdcf,https://doi.org/10.3847/PSJ/abfdcf,data/papers/barnes2021science.pdf,data/papers-md/barnes2021science.md,validated,local_pdf,"Context: Titan atmosphere, circulation, clouds, or mission science.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,c17f330e7433515d363ad14566bdaf67734af5270a5e0cad41db6b71278cbcd3,18,18,142038
karkoschka2022titan,article,Titan's haze at opposite seasons from HST-STIS spectroscopy,"Karkoschka, Erich",Icarus,2022,10.1016/j.icarus.2022.115188,doi:10.1016/j.icarus.2022.115188,https://doi.org/10.1016/j.icarus.2022.115188,data/papers/karkoschka2022titan.pdf,data/papers-md/karkoschka2022titan.md,validated,local_pdf,Direct: Titan haze asymmetry or seasonal change.,Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,8179b79a8ad7111884012d6fa980ab1958b9c5c0b505136aa9732ca0343d5c1e,19,19,35513
caldwell1992titan,article,Titan: Evidence for seasonal change—A comparison of Hubble Space Telescope and Voyager images,"Caldwell, John and Cunningham, Cindy C and Anthony, David and White, H Peter and Groth, EJ and Hasan, H and Noll, K and Smith, PH and Tomasko, MG and Weaver, HA",Icarus,1992,,project-bibkey:caldwell1992titan,,data/papers/caldwell1992titan.pdf,data/papers-md/caldwell1992titan.md,validated,local_pdf,Direct: Titan haze asymmetry or seasonal change.,Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 1 page(s).; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,e13faf548d1acdc1b288e139a7f18eb69e6ead079c676ef6c4fdd4d6709a8886,9,9,60972
lorenz1997titan,article,Titan's north--south asymmetry from HST and Voyager imaging: Comparison with models and ground-based photometry,"Lorenz, Ralph D and Smith, Peter H and Lemmon, Mark T and Karkoschka, Erich and Lockwood, GW and Caldwell, John",Icarus,1997,,project-bibkey:lorenz1997titan,,data/papers/lorenz1997titan.pdf,data/papers-md/lorenz1997titan.md,validated,local_pdf,"Context: Titan atmosphere, circulation, clouds, or mission science.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,4d98c22b41b7d983ec5c809eecfeb97a9c83c941b105c7668687fad7fa0f2398,17,17,81209
lorenz1999seasonal,article,Seasonal change on Titan observed with the Hubble Space Telescope WFPC-2,"Lorenz, Ralph D and Lemmon, Mark T and Smith, Peter H and Lockwood, GW",Icarus,1999,,project-bibkey:lorenz1999seasonal,,data/papers/lorenz1999seasonal.pdf,data/papers-md/lorenz1999seasonal.md,validated,local_pdf,Direct: Titan haze asymmetry or seasonal change.,Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,365f116eb5feba6b67685bdcc290bcac998cfae2c9080d058c86cd34a8701692,11,11,64885
lorenz2001titan,article,Titan's smile and collar: HST observations of seasonal change 1994--2000,"Lorenz, RD and Young, EF and Lemmon, MT",Geophysical research letters,2001,,project-bibkey:lorenz2001titan,,data/papers/lorenz2001titan.pdf,data/papers-md/lorenz2001titan.md,validated,local_pdf,Direct: Titan haze asymmetry or seasonal change.,Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,788b13b820a227ef12cfd457e13c0d594d13453414eb81bf67667ffb5e21c116,4,4,33277
Sromovsky1981,article,Implications of Titan's north--south brightness asymmetry,"Sromovsky, Lawrence A.
             and Suomi, Verner E.
             and Pollack, James B.
             and Krauss, Robert J.
             and Limaye, Sanjay S.
             and Owen, Tobias
             and Revercomb, Henry E.
             and Sagan, Carl",Nature,1981,,project-bibkey:Sromovsky1981,,data/papers/Sromovsky1981.pdf,data/papers-md/Sromovsky1981.md,validated,local_pdf,"Context: Titan atmosphere, circulation, clouds, or mission science.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 5 page(s).; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,1e839effbdd4482828abfce29fb6eb3c4ea01f8de91b9752d839d2ba390084d3,5,5,36760
horst2017,article,Titan's atmosphere and climate,"Hörst, S. M.",Journal of Geophysical Research: Planets,2017,10.1002/2016JE005240,doi:10.1002/2016JE005240,https://doi.org/10.1002/2016JE005240,data/papers/horst2017.pdf,data/papers-md/horst2017.md,validated,local_pdf,"Context: Titan atmosphere, circulation, clouds, or mission science.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,de88b04c86bb2d58b4be43393db22b5c80453d0452f5ed8a68ca4aa04c31957f,182,182,372066
lorenz2018dragonfly,article,Dragonfly: A rotorcraft lander concept for scientific exploration at Titan,"Lorenz, Ralph D and Turtle, Elizabeth P and Barnes, Jason W and Trainer, Melissa G and Adams, Douglas S and Hibbard, Kenneth E and Sheldon, Colin Z and Zacny, Kris and Peplowski, Patrick N and Lawrence, David J and others",Johns Hopkins APL Technical Digest,2018,,project-bibkey:lorenz2018dragonfly,,data/papers/lorenz2018dragonfly.pdf,data/papers-md/lorenz2018dragonfly.md,validated,local_pdf,"Context: Titan atmosphere, circulation, clouds, or mission science.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,7e31a509bbd8dfb7d7b8d83ae98d6583c5962e762273e90f88f364531de01ed9,14,14,101237
Roman2009,article,Determining a tilt in Titan's north-south albedo asymmetry from Cassini images,Michael T. Roman and Robert A. West and Don Banfield and Peter J. Gierasch and Richard K. Achterberg and Conor A. Nixon and Peter C. Thomas,Icarus,2009,10.1016/j.icarus.2009.04.021,doi:10.1016/j.icarus.2009.04.021,https://doi.org/10.1016/j.icarus.2009.04.021,data/papers/Roman2009.pdf,data/papers-md/Roman2009.md,validated,local_pdf,Direct: Titan haze asymmetry or seasonal change.,Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,fe5b084a09d62534f5225501802fc9b021b979c8a18b25cb70df3b4c971a4856,8,8,56577
hirtzig2006monitoring,article,Monitoring atmospheric phenomena on Titan,"Hirtzig, Mathieu and Coustenis, Athena and Gendron, Eric and Drossart, Pierre and Negr{\~a}o, Alberto and Combes, Michel and Lai, Olivier and Rannou, Pascal and Lebonnois, S{\'e}bastien and Luz, David",Astronomy \& Astrophysics,2006,,project-bibkey:hirtzig2006monitoring,,,,not_converted,metadata_only,"Context: Titan atmosphere, circulation, clouds, or mission science.",Metadata from the existing BibTeX entry; local PDF not audited.; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,,,,
hirtzig2009review,article,A review of Titan’s atmospheric phenomena,"Hirtzig, Mathieu and Tokano, Tetsuya and Rodriguez, S{\'e}bastien and Le Mou{\'e}lic, St{\'e}phane and Sotin, Christophe",The Astronomy and Astrophysics Review,2009,10.1007/s00159-009-0018-0,doi:10.1007/s00159-009-0018-0,https://doi.org/10.1007/s00159-009-0018-0,data/papers/hirtzig2009review.pdf,data/papers-md/hirtzig2009review.md,validated,local_pdf,"Context: Titan atmosphere, circulation, clouds, or mission science.",Page count matches; 1 sparse page(s); 0 replacement character(s); OCR used on 1 page(s).,3a461e3a3076ad1fffd19dcc6511689b40e0ba363d36b58545c2ed85703b7007,43,43,146988
tomasko2005rain,article,"Rain, winds and haze during the Huygens probe's descent to Titan's surface","Tomasko, Martin G and Archinal, B and Becker, T and B{\'e}zard, B and Bushroe, M and Combes, M and Cook, D and Coustenis, A and De Bergh, C and Dafoe, LE and others",Nature,2005,10.1038/nature04126,doi:10.1038/nature04126,https://doi.org/10.1038/nature04126,data/papers/tomasko2005rain.pdf,data/papers-md/tomasko2005rain.md,validated,local_pdf,Direct: Titan haze asymmetry or seasonal change.,Same work as Tomasko2005Titan; the latter has a DOI.; Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,8549279c76cd2b0fbf80f9c462ca36b272d179c44cb3e2ea70343881228709ef,14,14,103938
west2011evolution,article,The evolution of Titan's detached haze layer near equinox in 2009,"West, Robert A and Balloch, Jonathan and Dumont, Philip and Lavvas, Panayotis and Lorenz, Ralph and Rannou, Pascal and Ray, Trina and Turtle, Elizabeth P",Geophysical Research Letters,2011,10.1029/2011GL046843,doi:10.1029/2011GL046843,https://doi.org/10.1029/2011GL046843,data/papers/west2011evolution.pdf,data/papers-md/west2011evolution.md,validated,local_pdf,Direct: Titan haze asymmetry or seasonal change.,Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,2bec3e6e4ae22bb82776d3163c2b7ab63391e42de6493437f90b7513e0f2e1cf,4,4,29362
newman2011stratospheric,article,Stratospheric superrotation in the TitanWRF model,"Newman, Claire E and Lee, Christopher and Lian, Yuan and Richardson, Mark I and Toigo, Anthony D",Icarus,2011,10.1016/j.icarus.2011.03.025,doi:10.1016/j.icarus.2011.03.025,https://doi.org/10.1016/j.icarus.2011.03.025,data/papers/newman2011stratospheric.pdf,data/papers-md/newman2011stratospheric.md,validated,local_pdf,"Context: Titan atmosphere, circulation, clouds, or mission science.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,aa551fb28148085b4676e3b836f8dae743e0948d111ba5bdaa9c2a84778174cf,19,19,110143
flasar1981titan,article,Titan's atmosphere: Temperature and dynamics,"Flasar, FM and Samuelson, RE and Conrath, BJ",Nature,1981,,project-bibkey:flasar1981titan,,data/papers/flasar1981titan.pdf,data/papers-md/flasar1981titan.md,validated,local_pdf,"Context: Titan atmosphere, circulation, clouds, or mission science.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 6 page(s).; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,9dc4ff1ea9b14473f0f33ab1dbaecfcb116b5d53cf86a8beaa170841d1a60531,6,6,43035
flasar2005titan,article,"Titan's atmospheric temperatures, winds, and composition","Flasar, FM and Achterberg, RK and Conrath, BJ and Gierasch, PJ and Kunde, VG and Nixon, CA and Bjoraker, GL and Jennings, DE and Romani, PN and Simon-Miller, AA and others",Science,2005,10.1126/science.1111150,doi:10.1126/science.1111150,https://doi.org/10.1126/science.1111150,data/papers/flasar2005titan.pdf,data/papers-md/flasar2005titan.md,validated,local_pdf,"Context: Titan atmosphere, circulation, clouds, or mission science.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,9d8e01694840bb79167aaf0e8d06e9f10b1b041056ee96e31013a3f5d6b09edb,5,5,43493
achterberg2008observation,article,Observation of a tilt of Titan's middle-atmospheric superrotation,"Achterberg, Richard K and Conrath, Barney J and Gierasch, Peter J and Flasar, F Michael and Nixon, Conor A",Icarus,2008,,project-bibkey:achterberg2008observation,,data/papers/achterberg2008observation.pdf,data/papers-md/achterberg2008observation.md,validated,local_pdf,"Context: Titan atmosphere, circulation, clouds, or mission science.",Same work and PDF as achterberg2008titanb.; Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,f5b1f5894e08b2600bdba6fb4fdb33b9dca8924fb7f345bd20c90d4309dfb762,7,7,48396
bezard1995titan,article,Titan's stratospheric temperature asymmetry: a radiative origin?,"B{\'e}zard, Bruno and Coustenis, Ath{\'e}na and McKay, Christopher P",Icarus,1995,,project-bibkey:bezard1995titan,,data/papers/bezard1995titan.pdf,data/papers-md/bezard1995titan.md,validated,local_pdf,"Context: Titan atmosphere, circulation, clouds, or mission science.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 10 page(s).; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,b549c81281f59c7d342afe03033129ce4bd7e0ad97c1e5085847d79fcf4dcb9d,10,10,46620
brown2001hubble,article,Hubble Space Telescope time-series photometry of the transiting planet of HD 209458,"Brown, Timothy M and Charbonneau, David and Gilliland, Ronald L and Noyes, Robert W and Burrows, Adam",The Astrophysical Journal,2001,,project-bibkey:brown2001hubble,,data/papers/brown2001hubble.pdf,data/papers-md/brown2001hubble.md,validated,local_pdf,"Direct: limb behavior, vertical structure, or line-of-sight interpretation.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,ae0ef27cb7ebf265ba34fd020486d6f4373c683885281882fb5d512706123f31,11,11,84592
gibbard1999titan,article,Titan: High-resolution speckle images from the Keck Telescope,"Gibbard, SG and Macintosh, B and Gavel, D and Max, CE and De Pater, I and Ghez, AM and Young, EF and McKay, CP",Icarus,1999,,project-bibkey:gibbard1999titan,,data/papers/gibbard1999titan.pdf,data/papers-md/gibbard1999titan.md,validated,local_pdf,"Context: Titan atmosphere, circulation, clouds, or mission science.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 1 page(s).; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,e2de066bac1fde396d9e3daf839c00cf7e54265320e8ad56662ef26e3a3f57b2,13,13,64867
lora2015gcm,article,GCM simulations of Titan’s middle and lower atmosphere and comparison to observations,"Lora, Juan M and Lunine, Jonathan I and Russell, Joellen L",Icarus,2015,10.1016/j.icarus.2014.12.030,doi:10.1016/j.icarus.2014.12.030,https://doi.org/10.1016/j.icarus.2014.12.030,data/papers/lora2015gcm.pdf,data/papers-md/lora2015gcm.md,validated,local_pdf,"Context: Titan atmosphere, circulation, clouds, or mission science.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,8f132d23f2b005709905f5345cf2697b99b73995161e1c3369bf77b19d27629e,13,13,118000
neilson2013spherically,article,"Spherically-symmetric model stellar atmospheres and limb darkening-I. Limb-darkening laws, gravity-darkening coefficients and angular diameter corrections for red giant stars","Neilson, Hilding R and Lester, John B",Astronomy \& Astrophysics,2013,10.1051/0004-6361/201321502,doi:10.1051/0004-6361/201321502,https://doi.org/10.1051/0004-6361/201321502,data/papers/neilson2013spherically.pdf,data/papers-md/neilson2013spherically.md,validated,local_pdf,"Direct: limb behavior, vertical structure, or line-of-sight interpretation.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,b714a772578b5a741dcb4ffff735220056d20844c8211d3f5a0de1d32e01c5d4,10,10,72008
nichols2021tracking,article,Tracking short-term variations in the haze distribution of Titan’s atmosphere with SINFONI VLT,"Nichols-Fleming, Fiona and Corlies, Paul and Hayes, Alexander G and {\'A}d{\'a}mkovics, M{\'a}t{\'e} and Rojo, Patricio and Rodriguez, Sebastien and Turtle, Elizabeth P and Lora, Juan M and Soderblom, Jason M",The Planetary Science Journal,2021,10.3847/PSJ/abffd7,doi:10.3847/PSJ/abffd7,https://doi.org/10.3847/PSJ/abffd7,data/papers/nichols2021tracking.pdf,data/papers-md/nichols2021tracking.md,validated,local_pdf,Direct: Titan haze asymmetry or seasonal change.,Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).,c64437261fc152c9500d54bd75f7be2d0b14c73ec539da00fbef39b624089600,12,12,62986
nisenson1981radius,article,Radius and limb darkening of Titan from speckle imaging,"Nisenson, P and Apt, J and Goody, R and Horowitz, P",The Astronomical Journal,1981,,project-bibkey:nisenson1981radius,,data/papers/nisenson1981radius.pdf,data/papers-md/nisenson1981radius.md,validated,local_pdf,"Direct: limb behavior, vertical structure, or line-of-sight interpretation.",Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 4 page(s).; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,e9b217f0868c936fc73b1c5b3e9f4420ace6e9a99ed93814df3eaf34a0f272db,4,4,13687
young2002three,article,A three-dimensional map of Titan's tropospheric haze distribution based on Hubble Space Telescope imaging,"Young, Eliot F and Rannou, Pascal and McKay, Christopher P and Griffith, Caitlin A and Noll, Keith",The Astronomical Journal,2002,,project-bibkey:young2002three,,data/papers/young2002three.pdf,data/papers-md/young2002three.md,validated,local_pdf,Direct: Titan haze asymmetry or seasonal change.,Page count matches; 0 sparse page(s); 0 replacement character(s); OCR used on 0 page(s).; No outside stable identifier or source URL has been verified; the ledger uses the stable project key.,8c1c65c6065cadac5547b3e9860b59b4f1ad047cf90f9ad9f84ed5eb4a86ef08,14,14,73192
